site,median,up,low,probPos,probNeg
AtascosaHighlandsAZ,0.026,0.028,0.023,1,0
PatagoniaAZ,-0.005,-0.004,-0.006,0,1
RamseyCanyonAZ,-0.021,-0.02,-0.021,0,1
BeniciaCA,-0.035,-0.028,-0.041,0,1
BerkeleyCA,-0.007,-0.006,-0.008,0,1
BigBearCA,0.022,0.024,0.019,1,0
BigChicoCreekEcologicalReserve,0.007,0.022,-0.011,0.784,0.216
BigCreek,-0.007,-0.005,-0.009,0,1
BrowderRidgeOR,0,0.004,-0.004,0.476,0.524
DardenellesCA,0.001,0.003,-0.001,0.91,0.09
EugeneOR,0.002,0.005,-0.001,0.885,0.115
GiantSequoiaNationalMonumentSouth,0.032,0.038,0.026,1,0
HastingsReservationCA,-0.001,0.003,-0.005,0.273,0.727
MarinCo,-0.073,-0.07,-0.076,0,1
MarysPeakOR,0.145,0.156,0.132,1,0
Monterey,-0.078,-0.066,-0.089,0,1
MountBadenPowellCA,-0.021,-0.014,-0.029,0,1
MountDiabloCA,-0.016,-0.015,-0.017,0,1
NorthForkKernRiverValleyCA,-0.063,-0.058,-0.068,0,1
OrganMountainsNM,0.024,0.029,0.02,1,0
PasadenaCA,-0.035,-0.031,-0.038,0,1
PinnaclesNationalPark,-0.033,-0.031,-0.035,0,1
PointReyesCA,-0.002,0.004,-0.008,0.284,0.716
PomonaCA,-0.042,-0.036,-0.049,0,1
PortalAZ,0.008,0.012,0.005,1,0
SabinoCanyonAZ,-0.028,-0.024,-0.032,0,1
SanJoaquinCo,-0.022,-0.019,-0.025,0,1
SanJuanCapistranoCA,0.019,0.024,0.012,1,0
SantaYnezCanyon,-0.015,-0.012,-0.018,0,1
SonomaCo,-0.009,-0.006,-0.013,0,1
YubaPassCA,-0.019,-0.017,-0.021,0,1
ElDoradoNatureCenterCA,-0.089,-0.066,-0.109,0,1
PalosVerdesCA,-0.014,-0.013,-0.015,0,1
SanFranciscoCA,0.074,0.079,0.069,1,0
BeartoothButteWY,0.006,0.009,0.003,1,0
CalWoodOutdoorLearningCenterCO,0.026,0.029,0.024,1,0
GilpinCo,-0.014,-0.014,-0.015,0,1
LosAlamosNM,-0.047,-0.041,-0.053,0,1
MountLassen,-0.015,-0.011,-0.02,0,1
RockyMountainNationalParkCO,-0.006,-0.001,-0.012,0.016,0.984
ChumstickMtn,-0.028,-0.026,-0.029,0,1
FiveValleysMT,-0.071,-0.067,-0.074,0,1
YellowPineID,0.087,0.092,0.082,1,0
HighLineCanalCO,-0.026,-0.025,-0.027,0,1
BoiseFrontID,0.047,0.049,0.044,1,0
BorregoSpringsCA,-0.033,-0.007,-0.059,0.008,0.992
JoshuaTreeCA,-0.172,-0.167,-0.177,0,1
OchocoOR,-0.024,-0.021,-0.026,0,1
YellowstoneNationalPark,0.008,0.014,0.002,0.995,0.005
CottonwoodSpringCA,-0.23,-0.209,-0.247,0,1
BoyceThompsonArboretum,0.071,0.082,0.059,1,0
WillowSlough,-0.021,-0.02,-0.022,0,1
FortCollinsCO,-0.026,-0.023,-0.029,0,1
MetoliusOR,0.023,0.025,0.021,1,0
WesternWahkiakumCo,0.016,0.021,0.012,1,0
MortonElrodMemorialMT,-0.02,-0.015,-0.026,0,1
LavaBedsNationalMonument,0.101,0.108,0.092,1,0
RooseveltNationalForestCO,-0.032,-0.024,-0.041,0,1
SanBrunoMountainCA,-0.018,-0.011,-0.026,0,1
VashonIslandWA,0.008,0.019,-0.002,0.935,0.065
BryceCanyonUT,0.016,0.025,0.006,1,0
SantaFeNM,-0.051,-0.045,-0.058,0,1
ChatfieldNaturePreserveCO,-0.125,-0.076,-0.175,0,1
MinidokaNationalWildlifeRefugeID,-0.089,-0.075,-0.103,0,1
SevenDevilsID,-0.05,-0.04,-0.061,0,1
CamasNationalWildlifeRefugeID,-0.126,-0.116,-0.135,0,1
MagicMountainID,0.032,0.05,0.015,1,0
SouthSanFranciscoBayCA,-0.016,-0.01,-0.022,0,1
CosumnesRiverCA,0.031,0.034,0.028,1,0
ONeillRegionalParkCA,-0.148,-0.103,-0.196,0,1
WhiteMountains,0.034,0.043,0.026,1,0
TrapperCreekID,-0.01,0.023,-0.044,0.288,0.712
